Name,Sex,Team,NOC,Year,City,Sport,Event,Medal
Alfred Tonna,M,Malta,MLT,1980,Moskva,Cycling,"Cycling Men's Road Race, Individual",No medal
Alfred Tonna,M,Malta,MLT,1980,Moskva,Cycling,Cycling Men's 100 kilometres Team Time Trial,No medal
Lawrence Vella,M,Malta,MLT,1980,Moskva,Shooting,Shooting Mixed Trap,No medal
Joanna Agius,F,Malta,MLT,1984,Los Angeles,Archery,Archery Women's Individual,No medal
Peter Bonello,M,Malta,MLT,1984,Los Angeles,Sailing,Sailing Men's Windsurfer,No medal
Francis Chetcuti,M,Malta,MLT,1984,Los Angeles,Shooting,Shooting Mixed Trap,No medal
Michael Gauci,M,Malta,MLT,1984,Los Angeles,Shooting,Shooting Mixed Trap,No medal
Jesmond Giordemaina,M,Malta,MLT,1984,Los Angeles,Wrestling,"Wrestling Men's Flyweight, Freestyle",No medal
Jennifer (-hickey),F,Malta,MLT,1984,Los Angeles,Athletics,Athletics Women's Javelin Throw,No medal
Alexander Zammit,M,Malta,MLT,1984,Los Angeles,Wrestling,"Wrestling Men's Lightweight, Freestyle",No medal
Joanna Agius,F,Malta,MLT,1988,Seoul,Archery,Archery Women's Individual,No medal
Paul Farrugia,M,Malta,MLT,1988,Seoul,Wrestling,"Wrestling Men's Featherweight, Freestyle",No medal
Stephen Farrugia,M,Malta,MLT,1988,Seoul,Judo,Judo Men's Half-Lightweight,No medal
Jean-Paul Soler,M,Malta,MLT,1988,Seoul,Sailing,Sailing Mixed Windsurfer,No medal
Jesmond Giordemaina,M,Malta,MLT,1988,Seoul,Wrestling,"Wrestling Men's Bantamweight, Freestyle",No medal
Jason Trevisan,M,Malta,MLT,1988,Seoul,Judo,Judo Men's Lightweight,No medal
Deirdre (-farrugia),F,Malta,MLT,1992,Barcelona,Athletics,Athletics Women's 100 metres,No medal
Deirdre (-farrugia),F,Malta,MLT,1992,Barcelona,Athletics,Athletics Women's 200 metres,No medal
Jean-Paul Soler,M,Malta,MLT,1992,Barcelona,Sailing,Sailing Men's Windsurfer,No medal
Carol Galea,F,Malta,MLT,1992,Barcelona,Athletics,Athletics Women's 800 metres,No medal
Carol Galea,F,Malta,MLT,1992,Barcelona,Athletics,"Athletics Women's 1,500 metres",No medal
Horace Micallef,M,Malta,MLT,1992,Barcelona,Shooting,Shooting Mixed Trap,No medal
Laurie Pace,F,Malta,MLT,1992,Barcelona,Judo,Judo Women's Half-Middleweight,No medal
Jason Trevisan,M,Malta,MLT,1992,Barcelona,Judo,Judo Men's Lightweight,No medal
Mario Bonello,M,Malta,MLT,1996,Atlanta,Athletics,Athletics Men's 100 metres,No medal
Carol Galea,F,Malta,MLT,1996,Atlanta,Athletics,Athletics Women's Marathon,No medal
Francis Pace,M,Malta,MLT,1996,Atlanta,Shooting,Shooting Men's Trap,No medal
Francis Pace,M,Malta,MLT,1996,Atlanta,Shooting,Shooting Men's Double Trap,No medal
Laurie Pace,F,Malta,MLT,1996,Atlanta,Judo,Judo Women's Half-Middleweight,No medal
Gail Rizzo,F,Malta,MLT,1996,Atlanta,Swimming,Swimming Women's 50 metres Freestyle,No medal
Gail Rizzo,F,Malta,MLT,1996,Atlanta,Swimming,Swimming Women's 100 metres Freestyle,No medal
Gail Rizzo,F,Malta,MLT,1996,Atlanta,Swimming,Swimming Women's 100 metres Backstroke,No medal
John Tabone,M,Malta,MLT,1996,Atlanta,Sailing,Sailing Mixed One Person Dinghy,No medal
Andrew Wilson,M,Malta,MLT,1996,Atlanta,Sailing,Sailing Men's Windsurfer,No medal
Mario Aquilina,M,Malta,MLT,2000,Sydney,Sailing,Sailing Mixed One Person Dinghy,No medal
Mario Bonello,M,Malta,MLT,2000,Sydney,Athletics,Athletics Men's 100 metres,No medal
Angela Galea,F,Malta,MLT,2000,Sydney,Swimming,Swimming Women's 100 metres Butterfly,No medal
Francis Pace,M,Malta,MLT,2000,Sydney,Shooting,Shooting Men's Trap,No medal
Laurie Pace,F,Malta,MLT,2000,Sydney,Judo,Judo Women's Lightweight,No medal
Suzanne Spiteri,F,Malta,MLT,2000,Sydney,Athletics,Athletics Women's 100 metres,No medal
John Tabone,M,Malta,MLT,2000,Sydney,Swimming,Swimming Men's 400 metres Individual Medley,No medal
Neil Agius,M,Malta,MLT,2004,Athina,Swimming,Swimming Men's 400 metres Freestyle,No medal
Mario Aquilina,M,Malta,MLT,2004,Athina,Sailing,Sailing Mixed One Person Dinghy,No medal
Marcon Bezzina,F,Malta,MLT,2004,Athina,Judo,Judo Women's Lightweight,No medal
Tanya-Gee Blake,F,Malta,MLT,2004,Athina,Athletics,Athletics Women's 800 metres,No medal
William Chetcuti,M,Malta,MLT,2004,Athina,Shooting,Shooting Men's Double Trap,No medal
Angela Galea,F,Malta,MLT,2004,Athina,Swimming,Swimming Women's 100 metres Butterfly,No medal
Darren Gilford,M,Malta,MLT,2004,Athina,Athletics,Athletics Men's 100 metres,No medal
Charlene Attard,F,Malta,MLT,2008,Beijing,Athletics,Athletics Women's 100 metres,No medal
Marcon Bezzina,F,Malta,MLT,2008,Beijing,Judo,Judo Women's Half-Middleweight,No medal
William Chetcuti,M,Malta,MLT,2008,Beijing,Shooting,Shooting Men's Double Trap,No medal
Ryan Gambin,M,Malta,MLT,2008,Beijing,Swimming,Swimming Men's 100 metres Butterfly,No medal
Nicolai Portelli,M,Malta,MLT,2008,Beijing,Athletics,Athletics Men's 200 metres,No medal
Madeleine Scerri,F,Malta,MLT,2008,Beijing,Swimming,Swimming Women's 100 metres Freestyle,No medal
Diane Borg,F,Malta,MLT,2012,London,Athletics,Athletics Women's 100 metres,No medal
Andrew Chetcuti,M,Malta,MLT,2012,London,Swimming,Swimming Men's 100 metres Freestyle,No medal
William Chetcuti,M,Malta,MLT,2012,London,Shooting,Shooting Men's Double Trap,No medal
Rachid Chouhal,M,Malta,MLT,2012,London,Athletics,Athletics Men's 100 metres,No medal
Nicola Muscat,F,Malta,MLT,2012,London,Swimming,Swimming Women's 50 metres Freestyle,No medal
Eleanor Bezzina,F,Malta,MLT,2016,Rio de Janeiro,Shooting,"Shooting Women's Air Pistol, 10 metres",No medal
Eleanor Bezzina,F,Malta,MLT,2016,Rio de Janeiro,Shooting,"Shooting Women's Sporting Pistol, 25 metres",No medal
Luke Bezzina,M,Malta,MLT,2016,Rio de Janeiro,Athletics,Athletics Men's 100 metres,No medal
Andrew Chetcuti,M,Malta,MLT,2016,Rio de Janeiro,Swimming,Swimming Men's 100 metres Freestyle,No medal
William Chetcuti,M,Malta,MLT,2016,Rio de Janeiro,Shooting,Shooting Men's Double Trap,No medal
Kyle Micallef,M,Malta,MLT,2016,Rio de Janeiro,Weightlifting,Weightlifting Men's Light-Heavyweight,No medal
Nicola Muscat,F,Malta,MLT,2016,Rio de Janeiro,Swimming,Swimming Women's 50 metres Freestyle,No medal
Charlotte Wingfield,F,Malta,MLT,2016,Rio de Janeiro,Athletics,Athletics Women's 100 metres,No medal
Matthew Abela,M,Malta,MLT,2020,Tokyo,Badminton,Men's Singles,No medal
Eleanor Bezzina,F,Malta,MLT,2020,Tokyo,Shooting,10m Air Pistol Women,No medal
Eleanor Bezzina,F,Malta,MLT,2020,Tokyo,Shooting,25m Pistol Women,No medal
Andrew Chetcuti,M,Malta,MLT,2020,Tokyo,Swimming,Men's 100m Freestyle,No medal
Sasha Gatt,F,Malta,MLT,2020,Tokyo,Swimming,Women's 400m Freestyle,No medal
Sasha Gatt,F,Malta,MLT,2020,Tokyo,Swimming,Women's 1500m Freestyle,No medal
Carla Scicluna,F,Malta,MLT,2020,Tokyo,Athletics,Women's 100m,No medal
Yasmin Zammit,F,Malta,MLT,2020,Tokyo,Weightlifting,Women's 64kg,No medal
Gianluca Chetcuti,M,Malta,MLT,2024,Paris,Shooting,Trap Men,No medal
Katryna Esposito,F,Malta,MLT,2024,Paris,Judo,Women -48 kg,No medal
Beppe Grillo,M,Malta,MLT,2024,Paris,Athletics,Men's 100m,No medal
Sasha Gatt,F,Malta,MLT,2024,Paris,Swimming,Women's 1500m Freestyle,No medal
Kyle Micallef,M,Malta,MLT,2024,Paris,Swimming,Men's 50m Freestyle,No medal
mile Barral,M,Monaco,MON,1920,Antwerpen,Athletics,Athletics Men's 800 metres,No medal
Joseph Crovetto,M,Monaco,MON,1920,Antwerpen,Gymnastics,Gymnastics Men's Individual All-Around,No medal
Edmond Mdcin,M,Monaco,MON,1920,Antwerpen,Athletics,Athletics Men's 100 metres,No medal
Edmond Mdcin,M,Monaco,MON,1920,Antwerpen,Athletics,Athletics Men's 200 metres,No medal
Edmond Mdcin,M,Monaco,MON,1920,Antwerpen,Athletics,Athletics Men's Long Jump,No medal
Edmond Mdcin,M,Monaco,MON,1920,Antwerpen,Athletics,Athletics Men's Pentathlon,No medal
Michel Porasso,M,Monaco,MON,1920,Antwerpen,Gymnastics,Gymnastics Men's Individual All-Around,No medal
Roger Abel,M,Monaco,MON,1924,Paris,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",No medal
mile Barral,M,Monaco,MON,1924,Paris,Sailing,Sailing Mixed One Person Dinghy,No medal
Victor Bonafde,M,Monaco,MON,1924,Paris,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",No medal
Joseph Chiaubaut,M,Monaco,MON,1924,Paris,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",No medal
Gaston Mdcin,M,Monaco,MON,1924,Paris,Athletics,Athletics Men's Long Jump,No medal
Gaston Mdcin,M,Monaco,MON,1924,Paris,Athletics,Athletics Men's Pentathlon,No medal
Gaston Mdcin,M,Monaco,MON,1924,Paris,Athletics,Athletics Men's Decathlon,No medal
Julien Mdcin,M,Monaco,MON,1924,Paris,Art Competitions,Art Competitions Mixed Architecture,Bronze
Herman Schultz,M,Monaco,MON,1924,Paris,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",No medal
mile Barral,M,Monaco,MON,1928,Amsterdam,Sailing,Sailing Mixed One Person Dinghy,No medal
Alexandre Devissi,M,Monaco,MON,1928,Amsterdam,Rowing,Rowing Men's Coxed Fours,No medal
Charles Gardetto,M,Monaco,MON,1928,Amsterdam,Rowing,Rowing Men's Coxed Fours,No medal
mile Gardetto,M,Monaco,MON,1928,Amsterdam,Rowing,Rowing Men's Coxed Fours,No medal
Louis Giobergia,M,Monaco,MON,1928,Amsterdam,Rowing,Rowing Men's Coxed Fours,No medal
Pierre Levesy,M,Monaco,MON,1928,Amsterdam,Rowing,Rowing Men's Coxed Fours,No medal
Auguste Marocco,M,Monaco,MON,1928,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Paintings",No medal
Gaston Mdcin,M,Monaco,MON,1928,Amsterdam,Athletics,Athletics Men's Long Jump,No medal
Gaston Mdcin,M,Monaco,MON,1928,Amsterdam,Athletics,Athletics Men's Decathlon,No medal
Michel Ravarino,M,Monaco,MON,1928,Amsterdam,Art Competitions,"Art Competitions Mixed Architecture, Designs For Town Planning",No medal
Michel Ravarino,M,Monaco,MON,1928,Amsterdam,Art Competitions,"Art Competitions Mixed Architecture, Architectural Designs",No medal
Marc-Csar Scotto,M,Monaco,MON,1928,Amsterdam,Art Competitions,"Art Competitions Mixed Music, Compositions For Orchestra",No medal
Marc-Csar Scotto,M,Monaco,MON,1932,Los Angeles,Art Competitions,Art Competitions Mixed Music,No medal
Roger Abel,M,Monaco,MON,1936,Berlin,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",No medal
Roger Abel,M,Monaco,MON,1936,Berlin,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",No medal
Victor Bonafde,M,Monaco,MON,1936,Berlin,Shooting,"Shooting Men's Free Pistol, 50 metres",No medal
Louis Briano,M,Monaco,MON,1936,Berlin,Shooting,"Shooting Men's Free Pistol, 50 metres",No medal
Auguste Marocco,M,Monaco,MON,1936,Berlin,Art Competitions,"Art Competitions Mixed Painting, Paintings",No medal
Pierre Marsan,M,Monaco,MON,1936,Berlin,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",No medal
Michel Ravarino,M,Monaco,MON,1936,Berlin,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",No medal
Michel Ravarino,M,Monaco,MON,1936,Berlin,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",No medal
Herman Schultz,M,Monaco,MON,1936,Berlin,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",No medal
Herman Schultz,M,Monaco,MON,1936,Berlin,Shooting,"Shooting Men's Free Pistol, 50 metres",No medal
Marc-Csar Scotto,M,Monaco,MON,1936,Berlin,Art Competitions,"Art Competitions Mixed Music, Compositions For Orchestra",No medal
Roger Abel,M,Monaco,MON,1948,London,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",No medal
Pierre Marsan,M,Monaco,MON,1948,London,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",No medal
Michel Ravarino,M,Monaco,MON,1948,London,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",No medal
Herman Schultz,M,Monaco,MON,1948,London,Shooting,"Shooting Men's Free Pistol, 50 metres",No medal
Roger Abel,M,Monaco,MON,1952,Helsinki,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",No medal
Roger Abel,M,Monaco,MON,1952,Helsinki,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",No medal
Charles Bergonzi,M,Monaco,MON,1952,Helsinki,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",No medal
Pierre Marsan,M,Monaco,MON,1952,Helsinki,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",No medal
Georges Robini,M,Monaco,MON,1952,Helsinki,Shooting,Shooting Men's Trap,No medal
Marcel Ru,M,Monaco,MON,1952,Helsinki,Shooting,Shooting Men's Trap,No medal
Herman Schultz,M,Monaco,MON,1952,Helsinki,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",No medal
Herman Schultz,M,Monaco,MON,1952,Helsinki,Shooting,"Shooting Men's Free Pistol, 50 metres",No medal
Henri Bini,M,Monaco,MON,1960,Roma,Fencing,"Fencing Men's Foil, Individual",No medal
Henri Bini,M,Monaco,MON,1960,Roma,Fencing,"Fencing Men's epee, Individual",No medal
Francis Boisson,M,Monaco,MON,1960,Roma,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",No medal
Francis Bonafede,M,Monaco,MON,1960,Roma,Shooting,Shooting Men's Trap,No medal
Pierre Marsan,M,Monaco,MON,1960,Roma,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",No medal
Gilbert Orengo,M,Monaco,MON,1960,Roma,Fencing,"Fencing Men's Foil, Individual",No medal
Gilbert Orengo,M,Monaco,MON,1960,Roma,Fencing,"Fencing Men's epee, Individual",No medal
Michel Ravarino,M,Monaco,MON,1960,Roma,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",No medal
Marcel Ru,M,Monaco,MON,1960,Roma,Shooting,Shooting Men's Trap,No medal
Gilbert Scorsoglio,M,Monaco,MON,1960,Roma,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",No medal
Ren Battaglia,M,Monaco,MON,1964,Tokyo,Weightlifting,Weightlifting Men's Light-Heavyweight,No medal
Joseph Barral,M,Monaco,MON,1968,Mexico City,Shooting,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",No medal
Gilbert Scorsoglio,M,Monaco,MON,1968,Mexico City,Shooting,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",No medal
Joseph Barral,M,Monaco,MON,1972,Munich,Shooting,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",No medal
Francis Boisson,M,Monaco,MON,1972,Munich,Shooting,"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",No medal
Pierre Boisson,M,Monaco,MON,1972,Munich,Shooting,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",No medal
Paul Cerutti,M,Monaco,MON,1972,Munich,Shooting,Shooting Mixed Trap,No medal
Jean-Charles Seneca,M,Monaco,MON,1972,Munich,Fencing,"Fencing Men's epee, Individual",No medal
Joseph Barral,M,Monaco,MON,1976,Montreal,Shooting,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",No medal
Grard Battaglia,M,Monaco,MON,1976,Montreal,Sailing,Sailing Mixed Three Person Keelboat,No medal
Pierre Boisson,M,Monaco,MON,1976,Montreal,Shooting,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",No medal
Jean-Pierre Borro,M,Monaco,MON,1976,Montreal,Sailing,Sailing Mixed Three Person Keelboat,No medal
Paul Cerutti,M,Monaco,MON,1976,Montreal,Shooting,Shooting Mixed Trap,No medal
Patrick Novaretti,M,Monaco,MON,1976,Montreal,Swimming,Swimming Men's 200 metres Freestyle,No medal
Patrick Novaretti,M,Monaco,MON,1976,Montreal,Swimming,Swimming Men's 400 metres Freestyle,No medal
Patrick Novaretti,M,Monaco,MON,1976,Montreal,Swimming,Swimming Men's 400 metres Individual Medley,No medal
Claude Rossi,M,Monaco,MON,1976,Montreal,Sailing,Sailing Mixed Three Person Keelboat,No medal
Marcel Ru,M,Monaco,MON,1976,Montreal,Shooting,Shooting Mixed Trap,No medal
Jean-Luc Adorno,M,Monaco,MON,1984,Los Angeles,Swimming,Swimming Men's 100 metres Freestyle,No medal
Eric-Louis Bessi,M,Monaco,MON,1984,Los Angeles,Judo,Judo Men's Middleweight,No medal
Pierre Boisson,M,Monaco,MON,1984,Los Angeles,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",No medal
Gilles Cresto,M,Monaco,MON,1984,Los Angeles,Archery,Archery Men's Individual,No medal
Jean-Pierre Gasparotti,M,Monaco,MON,1984,Los Angeles,Shooting,"Shooting Men's Free Pistol, 50 metres",No medal
Olivier Martini,M,Monaco,MON,1984,Los Angeles,Fencing,"Fencing Men's Sabre, Individual",No medal
Jol Nigiono,M,Monaco,MON,1984,Los Angeles,Shooting,"Shooting Men's Free Pistol, 50 metres",No medal
Jean-Marie Repaire,M,Monaco,MON,1984,Los Angeles,Shooting,Shooting Mixed Trap,No medal
Philippe Battaglia,M,Monaco,MON,1988,Seoul,Sailing,Sailing Mixed One Person Dinghy,No medal
Eric-Louis Bessi,M,Monaco,MON,1988,Seoul,Judo,Judo Men's Middleweight,No medal
Gilbert Bessi,M,Monaco,MON,1988,Seoul,Athletics,Athletics Men's 100 metres,No medal
Gilles Cresto,M,Monaco,MON,1988,Seoul,Archery,Archery Men's Individual,No medal
Fabienne Diato-pasetti,F,Monaco,MON,1988,Seoul,Shooting,"Shooting Women's Air Rifle, 10 metres",No medal
Didier Gamerdinger,M,Monaco,MON,1988,Seoul,Sailing,Sailing Mixed Windsurfer,No medal
Olivier Martini,M,Monaco,MON,1988,Seoul,Fencing,"Fencing Men's Sabre, Individual",No medal
Stphane Operto,M,Monaco,MON,1988,Seoul,Cycling,"Cycling Men's Road Race, Individual",No medal
Gilles Pages,M,Monaco,MON,1988,Seoul,Judo,Judo Men's Extra-Lightweight,No medal
Fabienne Diato-pasetti,F,Monaco,MON,1992,Barcelona,Shooting,"Shooting Women's Air Rifle, 10 metres",No medal
Christophe Verdino,M,Monaco,MON,1992,Barcelona,Swimming,Swimming Men's 100 metres Breaststroke,No medal
Christophe Verdino,M,Monaco,MON,1992,Barcelona,Swimming,Swimming Men's 200 metres Breaststroke,No medal
Christophe Verdino,M,Monaco,MON,1992,Barcelona,Swimming,Swimming Men's 200 metres Individual Medley,No medal
Fabienne Diato-pasetti,F,Monaco,MON,1996,Atlanta,Shooting,"Shooting Women's Air Rifle, 10 metres",No medal
Thierry Vatrican,M,Monaco,MON,1996,Atlanta,Judo,Judo Men's Half-Middleweight,No medal
Christophe Verdino,M,Monaco,MON,1996,Atlanta,Swimming,Swimming Men's 100 metres Breaststroke,No medal
Christophe Verdino,M,Monaco,MON,1996,Atlanta,Swimming,Swimming Men's 200 metres Breaststroke,No medal
Olivier Bernasconi,M,Monaco,MON,2000,Sydney,Taekwondo,Taekwondo Men's Featherweight,No medal
Fabienne Diato-pasetti,F,Monaco,MON,2000,Sydney,Shooting,"Shooting Women's Air Rifle, 10 metres",No medal
Sylvain Faur,M,Monaco,MON,2000,Sydney,Swimming,Swimming Men's 100 metres Breaststroke,No medal
Thierry Vatrican,M,Monaco,MON,2000,Sydney,Judo,Judo Men's Half-Middleweight,No medal
Fabienne Diato-pasetti,F,Monaco,MON,2004,Athina,Shooting,"Shooting Women's Air Rifle, 10 metres",No medal
Sbastien Gattuso,M,Monaco,MON,2004,Athina,Athletics,Athletics Men's 100 metres,No medal
Jean-Laurent Ravera,M,Monaco,MON,2004,Athina,Swimming,Swimming Men's 100 metres Freestyle,No medal
Fabienne Diato-pasetti,F,Monaco,MON,2008,Beijing,Shooting,"Shooting Women's Air Rifle, 10 metres",No medal
Sbastien Gattuso,M,Monaco,MON,2008,Beijing,Athletics,Athletics Men's 100 metres,No medal
Romain Marchessou,M,Monaco,MON,2008,Beijing,Weightlifting,Weightlifting Men's Middleweight,No medal
Mathias Raymond,M,Monaco,MON,2008,Beijing,Rowing,Rowing Men's Single Sculls,No medal
Yann Siccardi,M,Monaco,MON,2008,Beijing,Judo,Judo Men's Extra-Lightweight,No medal
Herv Banti,M,Monaco,MON,2012,London,Triathlon,Triathlon Men's Olympic Distance,No medal
Damien Lerale,M,Monaco,MON,2012,London,Sailing,Sailing Men's One Person Dinghy,No medal
Brice Ets,M,Monaco,MON,2012,London,Athletics,Athletics Men's 800 metres,No medal
Mathias Raymond,M,Monaco,MON,2012,London,Rowing,Rowing Men's Single Sculls,No medal
Yann Siccardi,M,Monaco,MON,2012,London,Judo,Judo Men's Extra-Lightweight,No medal
Anglique Trinquier,F,Monaco,MON,2012,London,Swimming,Swimming Women's 100 metres Backstroke,No medal
Kvin Crovetto,M,Monaco,MON,2016,Rio de Janeiro,Gymnastics,Gymnastics Men's Individual All-Around,No medal
Kvin Crovetto,M,Monaco,MON,2016,Rio de Janeiro,Gymnastics,Gymnastics Men's Floor Exercise,No medal
Kvin Crovetto,M,Monaco,MON,2016,Rio de Janeiro,Gymnastics,Gymnastics Men's Parallel Bars,No medal
Kvin Crovetto,M,Monaco,MON,2016,Rio de Janeiro,Gymnastics,Gymnastics Men's Horizontal Bar,No medal
Kvin Crovetto,M,Monaco,MON,2016,Rio de Janeiro,Gymnastics,Gymnastics Men's Rings,No medal
Kvin Crovetto,M,Monaco,MON,2016,Rio de Janeiro,Gymnastics,Gymnastics Men's Pommelled Horse,No medal
Brice Ets,M,Monaco,MON,2016,Rio de Janeiro,Athletics,Athletics Men's 800 metres,No medal
Yann Siccardi,M,Monaco,MON,2016,Rio de Janeiro,Judo,Judo Men's Extra-Lightweight,No medal
Charlotte Afriat,F,Monaco,MON,2020,Tokyo,Athletics,Women's 100m,No medal
Quentin Antognelli,M,Monaco,MON,2020,Tokyo,Rowing,Men's Single Sculls,No medal
Cedric Bessi,M,Monaco,MON,2020,Tokyo,Judo,Men -73 kg,No medal
Theo Druenne,M,Monaco,MON,2020,Tokyo,Swimming,Men's 1500m Freestyle,No medal
Claudia Verdino,F,Monaco,MON,2020,Tokyo,Swimming,Women's 100m Breaststroke,No medal
Xiaoxin Yang,F,Monaco,MON,2020,Tokyo,Table Tennis,Women's Singles,No medal
Quentin Antognelli,M,Monaco,MON,2024,Paris,Rowing,Men's Single Sculls,No medal
Marvin Gadeau,M,Monaco,MON,2024,Paris,Judo,Men +100 kg,No medal
Theo Druenne,M,Monaco,MON,2024,Paris,Swimming,Men's 800m Freestyle,No medal
Lisa Pou,F,Monaco,MON,2024,Paris,Marathon Swimming,Women's 10km,No medal
Xiaoxin Yang,F,Monaco,MON,2024,Paris,Table Tennis,Women's Singles,No medal
Marie-charlotte Gastaud,F,Monaco,MON,2024,Paris,Athletics,Women's 100m,No medal
Mamadou Diallo,M,Mauritania,MTN,1984,Los Angeles,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",No medal
Oumar Sy,M,Mauritania,MTN,1984,Los Angeles,Wrestling,"Wrestling Men's Heavyweight, Freestyle",No medal
Samba Adama,M,Mauritania,MTN,1988,Seoul,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",No medal
Samba Adama,M,Mauritania,MTN,1988,Seoul,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",No medal
Salem Habib,M,Mauritania,MTN,1988,Seoul,Wrestling,"Wrestling Men's Welterweight, Freestyle",No medal
Mohamed Khalifa,M,Mauritania,MTN,1988,Seoul,Athletics,"Athletics Men's 5,000 metres",No medal
Mohamed Khayar,M,Mauritania,MTN,1988,Seoul,Athletics,"Athletics Men's 1,500 metres",No medal
Babacar Sar,M,Mauritania,MTN,1988,Seoul,Wrestling,"Wrestling Men's Heavyweight, Freestyle",No medal
Oumar Sy,M,Mauritania,MTN,1988,Seoul,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",No medal
Chrif Aidara,M,Mauritania,MTN,1992,Barcelona,Athletics,Athletics Men's 800 metres,No medal
Boubout Dieng,M,Mauritania,MTN,1992,Barcelona,Athletics,Athletics Men's 200 metres,No medal
Samba Fall,M,Mauritania,MTN,1992,Barcelona,Athletics,Athletics Men's 400 metres,No medal
Mohamed Khalifa,M,Mauritania,MTN,1992,Barcelona,Athletics,Athletics Men's Marathon,No medal
Noureddine Mnira,M,Mauritania,MTN,1992,Barcelona,Athletics,Athletics Men's 100 metres,No medal
Sid'Ahmed Mohamedou,M,Mauritania,MTN,1992,Barcelona,Athletics,"Athletics Men's 10,000 metres",No medal
Chrif Aidara,M,Mauritania,MTN,1996,Atlanta,Athletics,Athletics Men's 800 metres,No medal
Mohamed Brahim,M,Mauritania,MTN,1996,Atlanta,Athletics,Athletics Men's 200 metres,No medal
Noureddine Mnira,M,Mauritania,MTN,1996,Atlanta,Athletics,Athletics Men's 100 metres,No medal
Sid'Ahmed Mohamedou,M,Mauritania,MTN,1996,Atlanta,Athletics,"Athletics Men's 5,000 metres",No medal
Fatou Dieng,F,Mauritania,MTN,2000,Sydney,Athletics,Athletics Women's 100 metres,No medal
Sidi Bidjel,M,Mauritania,MTN,2000,Sydney,Athletics,"Athletics Men's 1,500 metres",No medal
Aminata Kamissoko,F,Mauritania,MTN,2004,Athina,Athletics,Athletics Women's 100 metres,No medal
Youba H'mede,M,Mauritania,MTN,2004,Athina,Athletics,Athletics Men's 400 metres,No medal
Bounkou Camara,F,Mauritania,MTN,2008,Beijing,Athletics,Athletics Women's 100 metres,No medal
Souleymane Moctar,M,Mauritania,MTN,2008,Beijing,Athletics,Athletics Men's 800 metres,No medal
Jidou El-moctar,M,Mauritania,MTN,2012,London,Athletics,Athletics Men's 200 metres,No medal
Aicha Fall,F,Mauritania,MTN,2012,London,Athletics,Athletics Women's 800 metres,No medal
Houleye Ba,F,Mauritania,MTN,2016,Rio de Janeiro,Athletics,Athletics Women's 800 metres,No medal
Jidou El-moctar,M,Mauritania,MTN,2016,Rio de Janeiro,Athletics,Athletics Men's 100 metres,No medal
Abidine Abidine,M,Mauritania,MTN,2020,Tokyo,Athletics,Men's 5000m,No medal
Houleye Ba,F,Mauritania,MTN,2020,Tokyo,Athletics,Women's 100m,No medal
Camil Doua,M,Mauritania,MTN,2024,Paris,Swimming,Men's 50m Freestyle,No medal
Bouha Ahamdy,F,Mauritania,MTN,2024,Paris,Athletics,Women's 100m,No medal
Maung Thant,M,Myanmar,MYA,1948,London,Boxing,Boxing Men's Flyweight,No medal
Maung Pe,M,Myanmar,MYA,1948,London,Athletics,Athletics Men's 100 metres,No medal
Maung Pe,M,Myanmar,MYA,1948,London,Athletics,Athletics Men's 200 metres,No medal
